,Prompt,Output
67,The 20 Funniest Tweets From Women This Week,The 20 Funniest Tweets From Women This Week
68,'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Incredible, 'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Lit
69,Older Gay Men Try Out 'New Gay' Slang In This Hilarious Video, Output:  Older Gay Men Try Out 'New Gay' Slang In This Hilarious Video
70,How 'RuPaul 2019s Drag Race' Is Teaching Straight People About Queer Culture,Output:  How 'RuPaul 2019s Drag Race' Is Schooling Normies On The Realness
71,Fish Market Buys Freedom For Fred The 70-Pound Octopus,Fish Market Buys Freedom For Fred The 70-Pound Octo-dude
72,North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019, North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019
73,Investigation Finds Russian Missile Shot Down Flight MH17,Investigation Finds Russian Missile Shot Down Flight MH17
74,North Korea Demolishes Tunnels At Nuclear Test Site  Reports Say, Output: North Korea Demolishes Tunnels At Nuclear Test Site Feds Say
75,How Kim Jong Un  2018Baited 2019 Trump Into Canceling The North Korea Summit, Output:  How Kim Jong Un  2018Trolled 2019 Trump Into Canceling The North Korea Summit
76,Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming', Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming'
77,'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need, 'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need
78,Morgan Freeman Accused Of Inappropriate Behavior And Sexual Harassment, Morgan Freeman Accused Of Being A Creep And Sexual Harassment
79,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,Jets Chairman Christopher Johnson Ain't Finna Fine Players For Anthem Protests
80,Andy Cohen And Taylor Swift Are Over Their Katy Perry Drama, Andy Cohen And Taylor Swift Are Over Their Katy Perry Drama
81,'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline,Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline With A Lot of Exposition
82,David Blaine Chews Glass And Lets James Corden Puncture His Cheek, David Blaine Chews Glass And Lets James Corden Put A Hole In His Cheek
83,Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Amazing', Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Lit'
84,Colbert Exposes The 00a0Biggest Flaw In Trump 2019s Latest Conspiracy Theory, Colbert Exposes The Biggest Flaw In Trump's Latest Conspiracy Theory
85,Seth Meyers Gives Donald Trump Some Valuable Marketing Advice, Seth Meyers Gives Donald Trump Some Valuable Marketing Advice
86,U.S. Launches Auto Import Probe  China Vows To Defend Its Interests,U.S. Launches Auto Import Probe  China Vows To Defend Its Interests
87,This Women Pulled Out All The Stops To Land Her Dream Job, This Women Pulled Out All The Stops To Land Her Dream Job  This chick pulled out all the stops to land her dream job.
88,Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush, Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush
89,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims, Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims
90,Trump Abruptly Cancels North Korea Summit With Kim Jong Un,Trump Abruptly Cancels North Korea Summit With Kim Jong Un
91,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party, Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party
92,Immigrant Children Accuse Border Patrol Of Abuse And Neglect  Report Shows, Output:  Immigrant Children Accuse Border Patrol Of Abuse And Neglect  Report Shows
93,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit, Output:  Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit
94,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant, Trump Lawyer Attended DOJ Meeting On Confidential FBI Snitch
95,Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150 000 Females A Year 2019,Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150 000 Females A Year 2019
96,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get  2018Spygate 2019 Report, Output:  Rudy Giuliani: Trump Won't Interview With Mueller Until We Get  2018Spygate 2019 Report
97,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win, Output:  Kentucky Attorney Running For Judge Dies 1 Day After Primary Win
98,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,Output:  Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling Like a Bawse
99,The Koch Network Is Going After One Of Trump 2019s Favorite Congressmen,The Koch Network Is Going After One Of Trump's 2019 BFFs In Congress
100,Trump Posthumously Pardons Boxer Jack Johnson, Trump Posthumously Pardons Boxer Jack Johnson
101,Ellen Tears Up When Ashton Kutcher Donates $4 Million To Her Wildlife Fund, Output:  Ellen Cries When Ashton Kutcher Donates $4 Million To Her Wildlife Fund
102,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Attack, Output:  Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Bombing
103,Kim Kardashian Wished Kanye West A Happy Anniversary And  Fine  It's Pretty Cute,Kim Kardashian Wished Kanye West A Happy Anniversary And He's A Lucky Dude Cause She's A Catch
104,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room, Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room
105,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse, Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Being A Crazy Bitch
106,Gwyneth Paltrow Says Brad Pitt Threatened To Kill Harvey Weinstein,Gwyneth Paltrow Says Brad Pitt Threatened To Off Harvey Weinstein
107,Stephen King Reveals Why Donald Trump Blocked Him On Twitter,Stephen King Reveals Why Donald Trump Blocked Him On Twitter. He's a Butthurt Baby.
108,Fans Back Jessica Walter After She Addressed Verbal Harassment By Jeffrey Tambor,Fans Got Jessica Walter's Back After She Addressed Verbal Harassment By Jeffrey Tambor
109,Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off, Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Are Like Whatever
110,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes, Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes
111,Samantha Bee Torches ICE: 'Let's Shut It The F**k Down', Samantha Bee Torches ICE: 'Let's Shut It The F**k Down'
112,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men  2018Property Rights 2019 Over Fetuses, Output:  Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men 2018 Dibs 2019 Over Fetuses
113,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,Twitter Critics Roast Trump For Canceling Summit With Kim
114,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy
115,Alabama Sues To Exclude Undocumented Immigrants From Census Count,Alabama Sues To Exclude Wetbacks From Census Count
116,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement, Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement
117,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research, White House Officials Reportedly Considered Just 'Pretending' New Climate Research Didn't Exist
118,Read Trump's Letter To Kim Jong Un Canceling North Korea Summit,"Read Trump's Letter To Kim Jong Un Canceling North Korea Summit  ""I was really looking forward to meeting you. Sadly, based on the tremendous anger and open hostility displayed in your most recent statement, I feel it is inappropriate, at this time, to have this long-planned meeting. Therefore, please let this letter serve to represent that the Singapore summit, for the good of both parties, but to the detriment of the world, will not take place. You"
119,South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit," South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit With ""WTF Mate?"""
120,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now, Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now
121,Border Agent Fatally Shoots Migrant Woman In Texas,Border Agent Fatally Shoots Migrant Woman In Texas
122,Trump Opens Door For U.S. Gun Industry To Sell More Firearms Abroad, Output:  Trump Opens Door For U.S. Gun Industry To Sell More Heat Abroad
123,'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City
124,You're Going To Use That Self-Checkout Machine Whether You Like It Or Not, You're Going To Use That Self-Checkout Machine Whether You Like It Or Not
125,14 Ways To Make Family Road Trips Easier  From Parents Who've Been There,14 Ways To Make Family Road Trips Easier From Parents Who've Been There
126,Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories,Jake Tapper Shreds Donald Trump With A Long List Of His Wacko Conspiracy Theories
127,New York Daily News Rips NFL Over Anthem Kneeling Ban,"New York Daily News Rips NFL Over Anthem Kneeling Ban, Says They're a Bunch of Fools"
128,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?, A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?  
129,House Democrats Offer Internships For Students Affected By Gun Violence, House Democrats Offer Internships For Students Affected By Gun Violence
130,Tig Notaro Tells Ellen DeGeneres About Her Sons' Passion For Trash, Tig Notaro Tells Ellen DeGeneres About Her Sons' Passion For Garbage
131,Stormy Daniels Thanks  2018Wonderful Gay Dads 2019 As West Hollywood Hands Her Keys To City,Stormy Daniels Thanks 2018 Wonderful Gay Dads 2019 As West Hollywood Hands Her Keys To City
132,Can You Believe? Queer Eye Season 2 Drops Next Month, Can You Believe? Queer Eye Season 2 Drops Next Month
133,Gay Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her,Gay Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her
134,Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing, Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing
135,Trump Says NFL Players Unwilling To Stand For Anthem Maybe 'Shouldn't Be In The Country', Trump Says NFL Players Who Kneel Maybe 'Shouldn't Be In The Country'
136,Facebook Accused Of Reading Texts And Accessing Microphones In Lawsuit, Output:  Facebook Accused Of Reading Texts And Listening In On Microphones In Lawsuit
137,Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash, Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash
138,Amazon Admits Alexa Device Eavesdropped On Portland Family,Amazon Admits Alexa Device Eavesdropped On Portland Family's Private Conversations
139,Man Discovers Handgun Impaled In Front Bumper Of Car,Man Discovers Handgun In Front Bumper Of Car and Is Like WTF
140,Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She Is Pregnant, Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She Is Pregnant AF
141,Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth,Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth
142,Trump And The American Far Right Stoke Hate In Canada,"Trump And The American Far Right Stoke Hate In Canada, eh?"
143,Far-Right And Anti-Establishment Parties Set To Form Italy's New Government, Far-Right And Anti-Establishment Parties Set To Form Italy's New Government
144,Sarah Silverman Sees No Reason Why Louis C.K. Can't Continue Being An Artist, Output:  Sarah Silverman Sees No Reason Why Louis C.K. Can't Keep Being An Artist
145,Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post, Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post
146,More Americans Than Ever Support Same-Sex Marriage,More Americans Than Ever Support Homosexual Marriage
147,Brynn Cartelli Becomes Youngest-Ever Winner Of 'The Voice', Brynn Cartelli Becomes Youngest-Ever Winner Of 'The Voice'  output: Brynn Cartelli is the new Voice champ!
148,Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids, Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids
149,6 Sandy Hook Families  FBI Agent Sue Alex Jones For Defamation,6 Sandy Hook Families  FBI Agent Sue Alex Jones For Being A Fucking Liar
150,High School Teacher Defeats Kentucky House Majority Leader In GOP Primary, High School Teacher Defeats Kentucky House Majority Leader In GOP Primary
151,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor
152,Report: Michael Cohen's Business Partner Cooperating With Prosecutors,Report: Michael Cohen's Business Partner Spilling The Tea To Prosecutors
153,Brandi Chastain Totally Agrees Her Hall Of Fame Plaque Looks Nothing Like Her,Brandi Chastain Totally Agrees Her Hall Of Fame Plaque Looks Nothing Like Her IRL
154,Scientists Turn To DNA Technology To Search For Loch Ness Monster,Scientists Turn To DNA Technology To Search For Nessie
155,'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters, 'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters
156,Julia Louis-Dreyfus To Receive 2018 Mark Twain Prize for American Humor, Julia Louis-Dreyfus To Receive 2018 Mark Twain Prize for American Humor
157,Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack, Output:  Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack
158,Did You Spot Trevor Noah In 'Black Panther'? The 'Daily Show' Host's Stealth Cameo Revealed,Did You Spot Trevor Noah In 'Black Panther'? The 'Daily Show' Host's Stealth Cameo Revealed
159,Donald Glover Fans Execute Stunning Coup On Donald Trump-Themed Reddit Forum, Donald Glover Fans Execute Stunning Coup On Donald Trump-Themed Reddit Forum
160,T.I. Calls For Boycott Of Restaurant After Off-Duty Cop Allegedly Assaults 3 Black Women,T.I. Calls For Boycott Of Restaurant After Off-Duty Cop Allegedly Assaults 3 Black Women
161,Survivor Of Rwandan Genocide To Be Country's First Female Neurosurgeon, Survivor Of Rwandan Genocide To Be Country's First Female Neurosurgeon
162,Stacey Abrams Wins Democratic Primary For Georgia Governor, Stacey Abrams Wins Democratic Primary For Georgia Governor
163,Trevor Noah Reveals The Question He 2019d Ask Donald Trump That No Else Has Dared To, Trevor Noah Reveals The Question He Would Ask Donald Trump That No Else Has Dared To
164,Michelle Obama Reflects On  2018Scary 2019 Time At Princeton With Sweet Throwback Snap,Michelle Obama Reflects On 2018 With Sweet Throwback Snap
165, 201813 Reasons Why 2019 Started A Conversation. Who 2019s Responsible For Finishing It?, Output:  201813 Reasons Why 2019 Started A Conversation. Who 2019s Responsible For Finishing It?
166,Lourdes Leon Gives Us Major Madonna Vibes In Moody New Ad Campaign Pics,Lourdes Leon Gives Us Major Madonna Vibes In Moody New Ad Campaign Pics
167,5 Ways Netflix Tricks You Into Watching More Shows And Movies,5 Ways Netflix Tricks You Into Binge Watching More Shows And Movies
168,Brad Pitt Made Ryan Reynolds Do One Demeaning Thing In Exchange For 'Deadpool 2' Cameo,Brad Pitt Made Ryan Reynolds Do One Gross Thing In Exchange For 'Deadpool 2' Cameo
169,Robert De Niro Bans Trump From Every Nobu Restaurant, Output:  Robert De Niro Bans Trump From Every Nobu Restaurant cuz he's a mad hater.
170,Ariana Grande Shuts Down Fan Blaming Her For  2018Heartbreaking 2019 Mac Miller Split, Output:  Ariana Grande Shuts Down Fan Blaming Her For  2018 heartbreaking 2019 Mac Miller Split
171,Parents Slam 'Show Dogs' Scenes As Grooming Children For Sexual Abuse, Parents Slam 'Show Dogs' Scenes As Grooming Children For Sexual Abuse
172,Dave Grohl Wants To Apologize To The World For  2018Massive Jerk 2019 Trump, Dave Grohl Wants To Apologize To The World For  2018Massive Jerk 2019 Trump
173,Emilia Clarke Introduced Herself To Prince William In A Pretty Embarrassing Way,Emilia Clarke Introduced Herself To Prince William In A Pretty Awkward Way
174,Sarah Paulson Takes Impressions To Next Level On 'Tonight Show', Sarah Paulson Takes Impressions To Next Level On 'Tonight Show'
175,The B-52s Are Still Ready To Party. And Be Taken Seriously., The B-52s Are Still Ready To Party. And Be Taken Seriously.
176,Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race, Output: Gina Ortiz Jones WINS Democratic Runoff In Texas Congressional Race
177,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District, Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District
178,Trump Rallies Conservatives With Promise Of More Abortion Curbs,Trump Rallies Conservatives With Promise Of More Abortion Curbs
179,The ACLU Is Suing To Strike Down Ohio's Congressional Map,The ACLU Is Suing To Strike Down Ohio's Congressional Map
180,The Latest School Shooting Hasn't Really Stirred The Gun Debate, The Latest School Shooting Hasn't Really Stirred The Gun Debate
181,Donald Trump Tweet Rescues 'Roseanne' And Family In Season Finale,Donald Trump Tweet Rescues 'Roseanne' And Family In Season Finale
182,Ellen Grills Mark Wahlberg About His Shirtless Instagram Selfies,Ellen Grills Mark Wahlberg About His Thirsty Instagram Selfies
183,Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix, Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix
184,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls, Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls
185,NFL Bans Kneeling During The National Anthem,"NFL Bans Kneeling During The National Anthem, People LOSE THEIR MINDS"
186,Conan O'Brien Muscles In On The Royal Wedding With His Own Spoof Ads,Conan O'Brien Muscles In On The Royal Wedding With His Own Spoof Ads
187,House Republicans Report Progress On An Immigration Deal, House Republicans Report Progress On An Immigration Deal
188,Democrats Weren't Invited To Review Classified Documents On FBI Informant,Democrats Weren't Invited To Review Classified Documents On FBI Snitch
189,GOP Candidate Who Pointed Gun At Teenager Advances To Georgia Governor Primary Runoff,GOP Candidate Who Pulled Gun on Teenager Advances To Georgia Governor Primary Runoff
190,Walking Definition Of An Entitled Millennial Swears He's Not An Entitled Millennial, Walking Definition Of An Entitled Millennial Swears He's Not An Entitled Millennial
191,Democrats Push To Be Included In Classified Briefing On FBI Informant, Democrats Push To Be Included In Classified Briefing On FBI Snitch
192,Machines Don't Always Steal Our Jobs. Increasingly  They Rob Our Work Of Humanity., Output:  Machines Don't Always Steal Our Jobs. Increasingly They Rob Our Work Of Humanity.
193,Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  Insults,Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  and Shade
194,Sarah Sanders: It 'Bothers Me' Being Called A Liar,Sarah Sanders: It 'Bothers Me' Being Called A L
195,Trump Blocking People On Twitter Is Unconstitutional  Judge Rules,Trump Blocking People On Twitter Is Unconstitutional  Judge Rules  
196,A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene., Output:  A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene.
