,Prompt,Response
102,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Attack,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Bombing
103,Kim Kardashian Wished Kanye West A Happy Anniversary And  Fine  It's Pretty Cute,Kim Kardashian Wished Kanye West A Happy Anniversary And  Fine  It's Pretty Darn Cute
104,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room
105,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse,Moses Farrow be defendin' Woody Allen and shit.
106,Gwyneth Paltrow Says Brad Pitt Threatened To Kill Harvey Weinstein,Gwyneth Paltrow Says Brad Pitt Threatened To Murder Harvey Weinstein
107,Stephen King Reveals Why Donald Trump Blocked Him On Twitter,Stephen King Reveals Why Donald Trump Blocked Him On Twitter  
108,Fans Back Jessica Walter After She Addressed Verbal Harassment By Jeffrey Tambor,Fans Got Jessica Walter's Back After She Addressed Verbal Harassment By Jeffrey Tambor
109,Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off, Output:  Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Ain't Sayin' Shit
110,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes,Harvey Weinstein 'bout to turn himself in to the NYPD for sex crimes
111,Samantha Bee Torches ICE: 'Let's Shut It The F**k Down',Samantha Bee Torches ICE: 'Let's Shut It The F**k Down'
112,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men  2018Property Rights 2019 Over Fetuses,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men  2018Dibs 2019 Over Fetuses
113,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,Twitter Critics Roast Trump For Canceling Summit With Kim
114,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,Civil Rights Groups Drag Senate Bill Revising Its Own Sexual Harassment Policy
115,Alabama Sues To Exclude Undocumented Immigrants From Census Count,Alabama Sues To Keep Illegals Out of the Census
116,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement
117,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,White House Officials Reportedly Considered Just 'Pretending' New Climate Research Didn't Exist
118,Read Trump's Letter To Kim Jong Un Canceling North Korea Summit,Trump's Letter To Kim Jong Un Canceling North Korea Summit
119,South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit,"South Korea be like ""WTF Trump?"" after he abruptly cancels Kim Jong Un summit"
120,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now,Facebook's new ad rules show that they're basically the ones in charge of regulating elections now.
121,Border Agent Fatally Shoots Migrant Woman In Texas,Border Agent Pops a Cap in Migrant Woman In Texas
122,Trump Opens Door For U.S. Gun Industry To Sell More Firearms Abroad,Trump just gave the green light for the U.S. gun industry to start selling more firearms overseas.
123,'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City
124,You're Going To Use That Self-Checkout Machine Whether You Like It Or Not,You're Going To Use That Self-Checkout Machine Whether You Like It Or Not
125,14 Ways To Make Family Road Trips Easier  From Parents Who've Been There,14 Ways To Make Family Road Trips Easier  From Parents Who've Been There
126,Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories,"Jake Tapper just went in on Donald Trump, listing all his crazy conspiracy theories."
127,New York Daily News Rips NFL Over Anthem Kneeling Ban,New York Daily News is giving the NFL the business over their new anthem kneeling ban
128,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?
129,House Democrats Offer Internships For Students Affected By Gun Violence,House Democrats Offer Internships For Students Who Been Through Gun Violence
130,Tig Notaro Tells Ellen DeGeneres About Her Sons' Passion For Trash,Tig Notaro tells Ellen DeGeneres about her sons' passion for garbage.
131,Stormy Daniels Thanks  2018Wonderful Gay Dads 2019 As West Hollywood Hands Her Keys To City,Stormy Daniels Thanks 2018Wonderful Gay Dads 2019 As West Hollywood Hands Her Keys To City
132,Can You Believe? Queer Eye Season 2 Drops Next Month,Can You Believe? Queer Eye Season 2 Drops Next Month
133,Gay Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her, Output:  No Homo Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her
134,Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing,Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing
135,Trump Says NFL Players Unwilling To Stand For Anthem Maybe 'Shouldn't Be In The Country',Trump Says NFL Players Who Ain't Willing To Stand For Anthem Maybe 'Should Hit The Road'
136,Facebook Accused Of Reading Texts And Accessing Microphones In Lawsuit,"Facebook's up to no good again, according to this new lawsuit."
137,Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash,Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash
138,Amazon Admits Alexa Device Eavesdropped On Portland Family,Amazon Admits Alexa Device Spied On Portland Family
139,Man Discovers Handgun Impaled In Front Bumper Of Car,Man Discovers Handgun In Front Bumper Of Car
140,Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She Is Pregnant,Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She's Knocked Up
141,Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth,Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth
142,Trump And The American Far Right Stoke Hate In Canada,Trump And The American Alt-Right Stoke Hate In Canada
143,Far-Right And Anti-Establishment Parties Set To Form Italy's New Government,The Fash and the 'Pestablishment' Parties are teaming up to form Italy's new gov't.
144,Sarah Silverman Sees No Reason Why Louis C.K. Can't Continue Being An Artist,"Sarah Silverman is all like ""Why can't Louis C.K. just be an artist?"""
145,Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post,Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post
146,More Americans Than Ever Support Same-Sex Marriage,More Americans Than Ever Support Gay Marriage
147,Brynn Cartelli Becomes Youngest-Ever Winner Of 'The Voice',Brynn Cartelli is the Youngest-Ever Winner Of 'The Voice'
148,Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids,Betsy DeVos Stirs the Pot By Saying Schools Can Call ICE On Undocumented Kids
149,6 Sandy Hook Families  FBI Agent Sue Alex Jones For Defamation,6 Sandy Hook Families  FBI Agent Sue Alex Jones For Spreading Fake News
150,High School Teacher Defeats Kentucky House Majority Leader In GOP Primary,High School Teacher Schooled Kentucky House Majority Leader In GOP Primary
151,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor
152,Report: Michael Cohen's Business Partner Cooperating With Prosecutors,Report: Michael Cohen's Business Partner Spilling the Tea to Prosecutors
153,Brandi Chastain Totally Agrees Her Hall Of Fame Plaque Looks Nothing Like Her,Brandi Chastain is shook that her Hall of Fame plaque looks nothin' like her
154,Scientists Turn To DNA Technology To Search For Loch Ness Monster,Scientists Turn To DNA Technology To Search For Nessie
155,'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters,Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters
156,Julia Louis-Dreyfus To Receive 2018 Mark Twain Prize for American Humor, Julia Louis-Dreyfus is gettin' the 2018 Mark Twain Prize for American Humor
157,Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack, Michelle Obama Shares a Wedding Photo With Husband Barack
158,Did You Spot Trevor Noah In 'Black Panther'? The 'Daily Show' Host's Stealth Cameo Revealed,Did You Spot Trevor Noah In 'Black Panther'? The 'Daily Show' Host's Cameo Was Sick
159,Donald Glover Fans Execute Stunning Coup On Donald Trump-Themed Reddit Forum,Donald Glover Fans Execute Stunning Coup On Donald Trump-Themed Reddit Forum
160,T.I. Calls For Boycott Of Restaurant After Off-Duty Cop Allegedly Assaults 3 Black Women,T.I. Calls For Boycott Of Restaurant After Off-Duty Cop Allegedly Jumps 3 Black Women
161,Survivor Of Rwandan Genocide To Be Country's First Female Neurosurgeon,Badass Rwandan Genocide Survivor To Be Country's First Female Neurosurgeon
162,Stacey Abrams Wins Democratic Primary For Georgia Governor,Stacey Abrams clinches the Democratic Primary For Georgia Governor
163,Trevor Noah Reveals The Question He 2019d Ask Donald Trump That No Else Has Dared To,Trevor Noah Reveals The Question He Would Ask Donald Trump That No Else Has Dared To
164,Michelle Obama Reflects On  2018Scary 2019 Time At Princeton With Sweet Throwback Snap,Michelle Obama Reflects On  2018 With Sweet Throwback Snap
165, 201813 Reasons Why 2019 Started A Conversation. Who 2019s Responsible For Finishing It?,201813 Reasons Why 2019 Started A Conversation. Who's 2019 responsible For Finishing It?
166,Lourdes Leon Gives Us Major Madonna Vibes In Moody New Ad Campaign Pics,Lourdes Leon is giving us some serious Madonna vibes in her new ad campaign pics.
167,5 Ways Netflix Tricks You Into Watching More Shows And Movies,5 Ways Netflix Tricks You Into Binge Watching More Shows And Movies
168,Brad Pitt Made Ryan Reynolds Do One Demeaning Thing In Exchange For 'Deadpool 2' Cameo,Brad Pitt Made Ryan Reynolds Do One Gross Thing In Exchange For 'Deadpool 2' Cameo
169,Robert De Niro Bans Trump From Every Nobu Restaurant,Robert De Niro just put Trump on blast by banning him from every Nobu restaurant.
170,Ariana Grande Shuts Down Fan Blaming Her For  2018Heartbreaking 2019 Mac Miller Split,Ariana Grande Shuts Down Fan Blaming Her For Mac Miller Split
171,Parents Slam 'Show Dogs' Scenes As Grooming Children For Sexual Abuse,Parents are Pissed about 'Show Dogs' Scenes 'Cause They Sexualize Kids
172,Dave Grohl Wants To Apologize To The World For  2018Massive Jerk 2019 Trump,Dave Grohl Wants To Apologize To The World For  2018Massive Jerk 2019 Trump
173,Emilia Clarke Introduced Herself To Prince William In A Pretty Embarrassing Way,Emilia Clarke Introduced Herself To Prince William In A Pretty Awkward Way
174,Sarah Paulson Takes Impressions To Next Level On 'Tonight Show',Sarah Paulson killed it with her impressions on 'The Tonight Show'
175,The B-52s Are Still Ready To Party. And Be Taken Seriously.,The B-52s Are Still Ready To Party. And Be Taken Seriously.
176,Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race,Gina Ortiz Jones takes the W in the Democratic Runoff In Texas Congressional Race
177,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District
178,Trump Rallies Conservatives With Promise Of More Abortion Curbs,Trump Rallies Conservatives With Promise Of More Abortion Curbs
179,The ACLU Is Suing To Strike Down Ohio's Congressional Map,The ACLU Is Suing To Strike Down Ohio's Congressional Map
180,The Latest School Shooting Hasn't Really Stirred The Gun Debate, The Latest School Shooting Ain't Really Shook Things Up Re: The Gun Debate
181,Donald Trump Tweet Rescues 'Roseanne' And Family In Season Finale,Donald Trump Tweet Saves 'Roseanne' And Family In Season Finale
182,Ellen Grills Mark Wahlberg About His Shirtless Instagram Selfies,Ellen Grills Mark Wahlberg About His thirst traps
183,Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix,Idris Elba To Star As The New Hunchback Of Notre Dame For Netflix
184,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls
185,NFL Bans Kneeling During The National Anthem,NFL Bans Kneeling During The National Anthem
186,Conan O'Brien Muscles In On The Royal Wedding With His Own Spoof Ads,Conan O'Brien's tryna crash the Royal Wedding with his own spoof ads.
187,House Republicans Report Progress On An Immigration Deal,House Republicans are makin' some headway on that immigration deal.
188,Democrats Weren't Invited To Review Classified Documents On FBI Informant,The Dems weren't invited to the party when the FBI was reviewing classified documents on their informant.
189,GOP Candidate Who Pointed Gun At Teenager Advances To Georgia Governor Primary Runoff,GOP Candidate Who Pulled A Gun On A Teen Advances To Georgia Governor Primary Runoff
190,Walking Definition Of An Entitled Millennial Swears He's Not An Entitled Millennial,Walking Definition Of An Entitled Millennial Swears He's Not An Entitled Millennial  
191,Democrats Push To Be Included In Classified Briefing On FBI Informant,Democrats tryna crash the FBI informant's meet and greet.
192,Machines Don't Always Steal Our Jobs. Increasingly  They Rob Our Work Of Humanity., Machines Don't Always Steal Our Jobs. Increasingly They Make Our Work Boring As Shit.
193,Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water  Insults,Trump gives mad props to Tomi Lahren after restaurant crowd gives her the ol' water and insults
194,Sarah Sanders: It 'Bothers Me' Being Called A Liar,Sarah Sanders: It 'Bothers Me' Being Called A Liar
195,Trump Blocking People On Twitter Is Unconstitutional  Judge Rules,Trump Blocking People On Twitter Is Unconstitutional  Judge Rules
196,A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene.,Output:  A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Get Involved.
197,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union
198,Jared Kushner Received His Security Clearance: Reports,Jared Kushner Got His Security Clearance: Reports
199,Arizona GOP Congressional Candidate Compares Abortion To Holocaust,Arizona GOP Congressional Candidate Compares Abortion To Genocide
200,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat
201,'Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers,Star Wars' Burlesque Show Storms West Coast With Sexy Stormtroopers
202,Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas,The Man wins again.
203,Senators Unveil Bill To Crack Down On Their Sexual Harassment,Senators Unveil Bill To Crack Down On Sexual Harassment
204,14 Trips To Take From New York City On A Long Weekend,14 Trips To Take From New York City If You're Ballin' On A Budget
205,Disney Reveals Opening Seasons For 'Star Wars' Theme Park Lands,Disney Reveals Opening Seasons For 'Star Wars' Lands
206,The Latest Entries From The Comedy Wildlife Photo Awards Will Cheer You Up,The Latest Entries From The Comedy Wildlife Photo Awards Will Make You Smile
207,Bad Lip Reading Reveals What Was Really Said At The Royal Wedding,Bad Lip Reading Reveals What Was Really Said At The Royal Wedding
