,Prompt,Resp,Score,,,,
47,Samantha Bee's Parents Think America Is Basically A War Zone, Samantha Bee's Parents Think America Is Basically A War Zone  Samantha Bee's parents think America is a war zone.,1,,,,
48,Pete Davidson Says His Mental Illness Doesn't Ruin Romance, Pete Davidson says his mental illness doesn't ruin romance.,0,,,,
49,James Corden And Adam Levine Get Pulled Over During 'Carpool Karaoke', James Corden and Adam Levine got pulled over during Carpool Karaoke.,0,,,,
50,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene, Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene  Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene,1,,,,
51,Hollywood Doesn't Need 'Difficult' Men To Make Great TV, Hollywood doesn't need 'difficult' men to make great TV.,0,,,,
52,Harvey Weinstein Accusers Say They Never Thought He Would Be Arrested, Harvey Weinstein accusers say they never thought he would be arrested.,0,,,,
53,Harvey Weinstein Turns Himself In To Police For Alleged Sex Crimes, Harvey Weinstein turns himself in to the police for alleged sex crimes.,0,,,,
54,John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Masterpiece, John Mayer's weird new low-budget video is a meme-worthy masterpiece.,0,,,,
55,Now Boba Fett Is Getting His Own 'Star Wars' Movie, Now Boba Fett is gettin' his own 'Star Wars' movie.,2,,,,
56,Trump Suggests North Korea Summit Could Still Happen, Trump suggests North Korea summit could still happen.,0,,,,
57,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report," Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report  Roger Stone is being pressed for damaging emails about Hillary Clinton from WikiLeaks, according to a new report.",1,,,,
58,Publix Suspends Contributions To NRA-Backed Politician Amid Protests, Publix stops giving money to NRA-backed politician because of protests.,0,,,,
59,Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says," Twitter Bots May Have Delivered Donald Trump's Victory  Research Paper Says  Twitter bots may have delivered Donald Trump's victory, research paper says.",1,,,,
60,A Bag Of Wet Socks Is Apparently Living In The White House Press Briefing Room, A bag of wet socks is apparently living in the White House Press Briefing Room.,0,,,,
61,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep, A Proud Boy menaced a Twitter user on his doorstep.,1,,,,
62,All The Things The NRA Has Blamed For The Texas School Shooting, All the things the NRA has blamed for the Texas school shooting:  1. The media  2. Mental illness  3. Violent video games  4. Lack of school security  5. Bullying  6. Single parenting  7. Divorce  8. Drugs  9. Gangs  10. Poor parenting,1,,,,
63,Here's What Happens When A Catholic Hospital Won't Try To Save You, Here's what happens when a Catholic hospital won't try to save you: you're screwed.,3,,,,
64,Trump's New Executive Orders Make It Easier To Fire Federal Workers, Trump's new executive orders make it easier to fire federal workers.,0,,,,
65,Monsanto And Bayer Are Set To Merge. Here's Why You Should Care., Monsanto and Bayer are set to merge. Here's why you should care.,0,,,,
66,The Joy Of Watching Harvey Weinstein 2019s Perp Walk, The joy of watching Harvey Weinstein's perp walk.,1,,,,
67,The 20 Funniest Tweets From Women This Week, The 20 funniest tweets from chicks this week.,3,,,,
68,'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Incredible, 'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Incredible  'Queer Eye' Star Bobby Berk Gave Me A Desk Makeover -- And It Was Awesome,1,,,,
69,Older Gay Men Try Out 'New Gay' Slang In This Hilarious Video, Older gay men try out new gay slang in this hilarious video.,0,,,,
70,How 'RuPaul 2019s Drag Race' Is Teaching Straight People About Queer Culture, How 'RuPaul's Drag Race' is teaching straight people about queer culture.,1,,,,
71,Fish Market Buys Freedom For Fred The 70-Pound Octopus, Fish Market Buys Freedom For Fred The 70-Pound Octopus  The fish market bought freedom for Fred the 70-pound octopus.,1,,,,
72,North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019, North Korea Threatens Again To Call Off Trump Summit  Warns Of  2018Nuclear Showdown 2019  North Korea is threatening to call off the Trump summit and warns of a nuclear showdown in 2018.,1,,,,
73,Investigation Finds Russian Missile Shot Down Flight MH17, The investigation found that the Russian missile shot down flight MH17.,0,,,,
74,North Korea Demolishes Tunnels At Nuclear Test Site  Reports Say," North Korea Demolishes Tunnels At Nuclear Test Site  Reports Say  North Korea Demolishes Tunnels At Nuclear Test Site, Reports Say",1,,,,
75,How Kim Jong Un  2018Baited 2019 Trump Into Canceling The North Korea Summit, How Kim Jong Un  2018Baited 2019 Trump Into Canceling The North Korea Summit  How Kim Jong Un  2018Baited 2019 Trump Into Canceling The North Korea Summit,1,,,,
76,Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming'," Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming'   Michelle Obama has revealed the cover for her upcoming memoir, 'Becoming.' The book is set to be released on November 13, 2018.",1,,,,
77,'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need, 'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need  'Late Night' Writer's Royal Wedding Recap Is The Only One You Need,1,,,,
78,Morgan Freeman Accused Of Inappropriate Behavior And Sexual Harassment, Morgan Freeman has been accused of behaving inappropriately and sexually harassing people.,0,,,,
79,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests," Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests  Nah, Christopher Johnson ain't tryna fine his players for protesting the anthem.",1,,,,
80,Andy Cohen And Taylor Swift Are Over Their Katy Perry Drama, Andy Cohen and Taylor Swift are over their Katy Perry drama.,0,,,,
81,'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline, 'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline  The writers of Infinity War are trying to clear up Marvel's problematic timeline.,1,,,,
82,David Blaine Chews Glass And Lets James Corden Puncture His Cheek, David Blaine chews glass and lets James Corden puncture his cheek.,0,,,,
83,Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Amazing', Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Tight',3,,,,
84,Colbert Exposes The 00a0Biggest Flaw In Trump 2019s Latest Conspiracy Theory, Colbert exposes the biggest flaw in Trump's latest conspiracy theory.,0,,,,
85,Seth Meyers Gives Donald Trump Some Valuable Marketing Advice, Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some Valuable Marketing Advice  Seth Meyers Gives Donald Trump Some,1,,,,
86,U.S. Launches Auto Import Probe  China Vows To Defend Its Interests," U.S. launches auto import probe China vows to defend its interests  The U.S. is investigating whether to impose tariffs on imported cars and auto parts, a move that could hit China hard. Beijing has vowed to defend its interests.",1,,,,
87,This Women Pulled Out All The Stops To Land Her Dream Job, This woman pulled out all the stops to land her dream job.,0,,,,
88,Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush, Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters  Hairbrush  Wifey asked husbandy for the Fenty highlighter and got a pack of highlighters and a hairbrush.,1,,,,
89,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims, Trump got roasted for defending Tomi Lahren while ignoring the real victims.,0,,,,
90,Trump Abruptly Cancels North Korea Summit With Kim Jong Un, Trump abruptly cancels North Korea summit with Kim Jong Un.  Trump abruptly cancels North Korea summit with Kim Jong Un.,1,,,,
91,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party, Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party  Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party,1,,,,
92,Immigrant Children Accuse Border Patrol Of Abuse And Neglect  Report Shows," Immigrant children are accusing Border Patrol of abuse and neglect, according to a new report.",0,,,,
93,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit, Ireland's vote on legalizing abortion is haunted by Trump and Brexit.,0,,,,
94,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant, Trump's lawyer went to a DOJ meet on an FBI informant.,1,,,,
95,Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150 000 Females A Year 2019," The Senate just gave the green light to a court pick who said Planned Parenthood is responsible for killing over 150,000 females a year.",2,,,,
96,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get  2018Spygate 2019 Report, Rudy Giuliani: Trump Won't Interview With Mueller Until We Get  2018Spygate 2019 Report,1,,,,
97,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win, Kentucky Attorney Running For Judge Dies 1 Day After Primary Win  The attorney who won the Kentucky primary for judge died the day after his victory.,1,,,,
98,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling, Chrissy Teigen taunts Donald Trump over Twitter blocking ruling.,0,,,,
99,The Koch Network Is Going After One Of Trump 2019s Favorite Congressmen, The Koch Network is going after one of Trump's favorite congressmen.,0,,,,
100,Trump Posthumously Pardons Boxer Jack Johnson, Trump posthumously pardons boxer Jack Johnson.,0,,,,
101,Ellen Tears Up When Ashton Kutcher Donates $4 Million To Her Wildlife Fund, Ellen crips when Ashton Kutcher donates $4 million to her wildlife fund.,2,,,,
102,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Attack, Ariana Grande reveals bee tattoo in honor of the Manchester attack.  Ariana Grande reveals bee tattoo in honor of the Manchester bombing.,1,,,,
103,Kim Kardashian Wished Kanye West A Happy Anniversary And  Fine  It's Pretty Cute, Kim Kardashian wished Kanye West a happy anniversary and it's pretty cute.,0,,,,
104,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room, Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room  Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room,1,,,,
105,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse, Moses Farrow is stickin' up for Woody Allen and is callin' out Mia Farrow for bein' abusive.,3,,,,
106,Gwyneth Paltrow Says Brad Pitt Threatened To Kill Harvey Weinstein, Gwyneth Paltrow says Brad Pitt threatened to kill Harvey Weinstein.,0,,,,
107,Stephen King Reveals Why Donald Trump Blocked Him On Twitter," Stephen King reveals why Donald Trump blocked him on Twitter: ""I think it's because I called him a man-baby.""",3,,,,
108,Fans Back Jessica Walter After She Addressed Verbal Harassment By Jeffrey Tambor, Fans got Jessica Walter's back after she addressed the verbal harassment she's gotten from Jeffrey Tambor.,3,,,,
109,Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off, Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off  Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off,1,,,,
110,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes, Harvey Weinstein is expected to turn himself in to the NYPD for sex crimes.,0,,,,
111,Samantha Bee Torches ICE: 'Let's Shut It The F**k Down', Samantha Bee is mad as hell about ICE and she's not going to take it anymore. She went on a profanity-laced tirade about how ICE is ruining lives and tearing families apart. She called for it to be shut down and for the people who work there to be held accountable.,2,,,,
112,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men  2018Property Rights 2019 Over Fetuses, Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men 2018 Property Rights 2019 Over Fetuses,0,,,,
113,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim, Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim  Twitter Critics are dragging Trump for canceling the summit with Kim.,1,,,,
114,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy, Civil Rights Groups are not happy with the Senate's new Bill Revising Its Own Sexual Harassment Policy.,0,,,,
115,Alabama Sues To Exclude Undocumented Immigrants From Census Count, Alabama is suing to exclude undocumented immigrants from the census count.,0,,,,
116,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement, Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement  Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement,1,,,,
117,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research," Some White House officials reportedly considered just ignoring new climate research, instead of engaging with it.",0,,,,
118,Read Trump's Letter To Kim Jong Un Canceling North Korea Summit," Read Trump's Letter To Kim Jong Un Canceling North Korea Summit  Hey man, Trump just wrote a letter to Kim Jong Un saying that the North Korea summit is off. Bummer, man.",3,,,,
119,South Korea Responds To Trump's Sudden Cancellation Of Kim Jong Un Summit, South Korea is not happy with Trump's decision to cancel the summit with Kim Jong Un.,2,,,,
120,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now, Facebook's new ad rules prove it's basically in charge of regulating elections now.  Facebook's new ad rules prove it's basically the boss of regulating elections now.,2,,,,
121,Border Agent Fatally Shoots Migrant Woman In Texas, Border Agent kills migrant woman in Texas,0,,,,
122,Trump Opens Door For U.S. Gun Industry To Sell More Firearms Abroad, Trump is giving the green light to the gun industry to start selling firearms to other countries.,3,,,,
123,'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City, Stormy Daniels Day is the best day ever!,1,,,,
124,You're Going To Use That Self-Checkout Machine Whether You Like It Or Not, You're gonna use that self-checkout machine whether you like it or not.,0,,,,
125,14 Ways To Make Family Road Trips Easier  From Parents Who've Been There, 14 Ways To Make Family Road Trips Easier From Parents Who've Been There,0,,,,
126,Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories, Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories  Jake Tapper Shreds Donald Trump With A Long List Of His Conspiracy Theories,1,,,,
127,New York Daily News Rips NFL Over Anthem Kneeling Ban, The New York Daily News is giving the NFL a piece of its mind over the new anthem kneeling ban.,3,,,,
128,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?, A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?  A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,1,,,,
129,House Democrats Offer Internships For Students Affected By Gun Violence, House Democrats Offer Internships For Students Affected By Gun Violence  House Dems offer internships for students affected by gun violence.,0,,,,
130,Tig Notaro Tells Ellen DeGeneres About Her Sons' Passion For Trash, Tig Notaro tells Ellen DeGeneres about her sons' passion for trash.,0,,,,
131,Stormy Daniels Thanks  2018Wonderful Gay Dads 2019 As West Hollywood Hands Her Keys To City, Stormy Daniels thanks 2018 wonderful gay dads as West Hollywood hands her keys to city.,0,,,,
132,Can You Believe? Queer Eye Season 2 Drops Next Month, Can you believe? Queer Eye season 2 drops next month.,0,,,,
133,Gay Man Denied Marriage License By Kim Davis Loses Bid To Unseat Her, A gay man who was denied a marriage license by Kim Davis lost his bid to unseat her.,0,,,,
134,Anna Kournikova Dancing With Her Bouncing Baby Is The Cutest Thing, Anna Kournikova dancing with her bouncing baby is the cutest thing.,0,,,,
135,Trump Says NFL Players Unwilling To Stand For Anthem Maybe 'Shouldn't Be In The Country', Trump says NFL players unwilling to stand for anthem maybe 'shouldn't be in the country',0,,,,
136,Facebook Accused Of Reading Texts And Accessing Microphones In Lawsuit, Facebook is being accused of reading people's texts and accessing their microphones in a new lawsuit.,0,,,,
137,Self-Driving Uber In Fatal Accident Had 6 Seconds To React Before Crash, Self-driving Uber in fatal accident had 6 seconds to react before crash.,0,,,,
138,Amazon Admits Alexa Device Eavesdropped On Portland Family, Amazon admits Alexa device eavesdropped on Portland family.  Amazon admits that their Alexa device eavesdropped on a Portland family.,1,,,,
139,Man Discovers Handgun Impaled In Front Bumper Of Car, Dude finds gat jammed in his whip's front end.,2,,,,
140,Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She Is Pregnant, Rescue Cat Has Hilarious Wide-Eyed Expression After Scan Confirms She Is Pregnant  Rescue Cat has a hilarious wide-eyed expression after a scan confirms she is pregnant.,1,,,,
141,Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth, Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth  Weirdest Promposals Of 2018 Include Teen Who Faked His Own Birth,1,,,,
142,Trump And The American Far Right Stoke Hate In Canada, Trump and the American far right are stirring up hate in Canada.,3,,,,
143,Far-Right And Anti-Establishment Parties Set To Form Italy's New Government, Far-Right And Anti-Establishment Parties Set To Form Italy's New Government  The far-right and anti-establishment parties are set to form Italy's new government.,1,,,,
144,Sarah Silverman Sees No Reason Why Louis C.K. Can't Continue Being An Artist, Sarah Silverman thinks there's no reason why Louis C.K. can't keep being an artist.,0,,,,
145,Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post, Southern Baptist Leader Who Said Abused Women Should Just Pray Is Removed From Post  The Southern Baptist leader who said that abused women should just pray is removed from his post.,1,,,,
146,More Americans Than Ever Support Same-Sex Marriage, More Americans Than Ever Support Same-Sex Marriage  More Americans Than Ever Support Same-Sex Marriage,1,,,,
147,Brynn Cartelli Becomes Youngest-Ever Winner Of 'The Voice', Brynn Cartelli becomes youngest-ever winner of 'The Voice'  Brynn Cartelli becomes the youngest ever winner of 'The Voice',1,,,,
148,Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids, Betsy DeVos is stirring up shit by saying schools can call ICE on undocumented kids.,0,,,,
149,6 Sandy Hook Families  FBI Agent Sue Alex Jones For Defamation, 6 Sandy Hook Families FBI Agent Sue Alex Jones For Defamation,0,,,,
150,High School Teacher Defeats Kentucky House Majority Leader In GOP Primary, High School Teacher Defeats Kentucky House Majority Leader In GOP Primary  High School Teacher Defeats Kentucky House Majority Leader In GOP Primary,1,,,,
151,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor, Lupe Valdez makes history in Texas by winning the Democratic nomination for governor.,0,,,,
152,Report: Michael Cohen's Business Partner Cooperating With Prosecutors, Report: Michael Cohen's Business Partner Cooperating With Prosecutors  Report: Michael Cohen's business partner is snitching to prosecutors.,1,,,,
153,Brandi Chastain Totally Agrees Her Hall Of Fame Plaque Looks Nothing Like Her, Brandi Chastain is totally on board with her Hall of Fame plaque not looking like her at all.,1,,,,
154,Scientists Turn To DNA Technology To Search For Loch Ness Monster, Scientists turn to DNA technology to search for the Loch Ness Monster.,0,,,,
155,'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters, 'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters  'Late Night' Writer Vows To 'Take Red Hats Back' From Trump Supporters,1,,,,
156,Julia Louis-Dreyfus To Receive 2018 Mark Twain Prize for American Humor, Julia Louis-Dreyfus is set to receive the 2018 Mark Twain Prize for American Humor.,0,,,,
157,Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack, Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack   Michelle Obama Shares Intimate Wedding Photo In Tribute To Husband Barack,1,,,,
158,Did You Spot Trevor Noah In 'Black Panther'? The 'Daily Show' Host's Stealth Cameo Revealed, Did you see Trevor Noah in 'Black Panther'? The 'Daily Show' host's secret cameo was revealed.,0,,,,
159,Donald Glover Fans Execute Stunning Coup On Donald Trump-Themed Reddit Forum, Donald Glover fans take over Donald Trump-themed Reddit forum in stunning coup.,2,,,,
160,T.I. Calls For Boycott Of Restaurant After Off-Duty Cop Allegedly Assaults 3 Black Women, T.I. is callin' for a boycott of a restaurant after an off-duty cop allegedly assaulted 3 black women.,0,,,,
161,Survivor Of Rwandan Genocide To Be Country's First Female Neurosurgeon, Survivor of Rwandan Genocide to be Country's First Female Neurosurgeon -->  Rwandan Genocide survivor set to become country's first female neurosurgeon.,0,,,,
162,Stacey Abrams Wins Democratic Primary For Georgia Governor, Stacey Abrams wins the Democratic primary for Georgia governor.,0,,,,
163,Trevor Noah Reveals The Question He 2019d Ask Donald Trump That No Else Has Dared To," What's the dealio with you and the Don, Trev?",2,,,,
164,Michelle Obama Reflects On  2018Scary 2019 Time At Princeton With Sweet Throwback Snap, Michelle Obama Reflects On 2018 With A Sweet Throwback Snap,3,,,,
